feature_idx,feature_name,cohens_d,abs_cohens_d,t_statistic,p_value,clear_mean,smash_mean,clear_std,smash_std
23,r_wrist_elbow_vertical,-0.02627168633622507,0.02627168633622507,-0.922382029140705,0.3563742767702911,0.001949757375324774,0.0029345921852698058,0.03755580586023736,0.037390614704234874
3,r_wrist_depth,0.022913709226892173,0.022913709226892173,0.8044855091604622,0.4211552544720786,-0.03753090481243968,-0.039153337348296145,0.07154979732184193,0.06991216209560802
48,r_upper_arm_length_vel,-0.022419664581714297,0.022419664581714297,-0.7871517030883449,0.4312307365639193,-6.493668666497192e-05,-5.0097994889689605e-05,0.0006964856144543582,0.0006194245991173613
13,shoulder_width,-0.020964008394707627,0.020964008394707627,-0.7360329222386613,0.4617455245603306,0.04251842018457067,0.04313054219991915,0.029079367446681756,0.02932242242667462
19,r_forearm_length,-0.018919214863590036,0.018919214863590036,-0.6642414630367944,0.5065667061774908,0.05729871210940476,0.05807958948466144,0.04237077713129661,0.03996070323356111
6,r_elbow_depth,0.016589486981154967,0.016589486981154967,0.5824462416916555,0.560292659500126,-0.016334879139231543,-0.016913478936146555,0.034671665159715516,0.03509713765591708
32,arm_extension_ratio_vel,-0.015590551421730518,0.015590551421730518,-0.5473743048989046,0.5841462719714399,0.00038540310284180103,0.0007985075791717974,0.02641247288731562,0.026582410367917243
42,r_wrist_lateral_vel,0.01515545152948187,0.01515545152948187,0.5321063696357268,0.5946761972469641,1.646151184091187e-05,6.797784636606237e-06,0.0006381515267420583,0.0006367550987887267
46,torso_lean_vel,-0.014711151135611554,0.014711151135611554,-0.5164989303022846,0.6055290493265086,0.12445467029499807,0.15135206222563247,1.8621120105611677,1.7880557611208239
12,r_wrist_lateral,0.014689027603272307,0.014689027603272307,0.5157224125468968,0.6060713221435974,-8.737019050203344e-05,-0.00041981738616076174,0.02207692832203421,0.02324371678585516
5,r_wrist_depth_from_hip,-0.01455413906117683,0.01455413906117683,-0.5109863912116198,0.6093833657544752,-0.053928013149945095,-0.05258379070199872,0.09344935495330907,0.09105375344048186
14,r_elbow_angle,-0.013308069140484319,0.013308069140484319,-0.4672376334040239,0.6403504291751272,127.18367067846621,127.45292869602206,20.05143864846274,20.429986910955257
41,r_elbow_height_rel_vel,-0.012977096149125952,0.012977096149125952,-0.4556229026250228,0.6486811482049164,5.470010924838837e-06,1.6190198505422348e-05,0.000841942232839731,0.0008071194036936531
54,r_wrist_horizontal_reach_vel,0.012182912085272682,0.012182912085272682,0.42773792539787486,0.6688605345895299,-0.00011224860487272989,-0.00012587935198347033,0.001127020667586625,0.0011088716506009635
20,arm_straightness,-0.011913104085763272,0.011913104085763272,-0.4182613706173616,0.675774166624699,0.8772603517694051,0.8782323837841405,0.08032191795108483,0.08299374008557654
8,r_wrist_height_rel,-0.009607437287174824,0.009607437287174824,-0.33731090403140257,0.7358968365078608,0.015844837822166117,0.01659648601863935,0.07795108980031376,0.07852798929378359
36,r_elbow_depth_vel,-0.009387664245710805,0.009387664245710805,-0.3295994017143892,0.7417166150487012,3.843902246036084e-05,4.512328824866047e-05,0.0007263983948874235,0.0006948324010577159
10,r_wrist_height_from_head,-0.008898727216339197,0.008898727216339197,-0.3124285414063804,0.754728017281081,0.028046366159044607,0.029000740148059704,0.10588391460239682,0.1087469768457173
